Rank,Name,Platform,Year,Genre,Publisher,Global_Sales
379,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,3.49
380,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.48
381,Guitar Hero: On Tour,DS,2008,Misc,Activision,3.48
382,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.46
383,Far Cry 3,PS3,2012,Shooter,Ubisoft,3.45
384,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,3.44
385,Borderlands,X360,2009,Shooter,Take-Two Interactive,3.44
386,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,3.44
387,Battlefield 4,PS4,2013,Shooter,Electronic Arts,3.43
388,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.42
389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42
390,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,3.42
391,Spider-Man 2,PS2,2004,Action,Activision,3.41
392,F-1 Race,GB,1990,Racing,Nintendo,3.41
393,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,3.4
394,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,3.39
395,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,3.38
396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.38
397,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,3.38
398,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,3.36
399,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,3.36
400,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,3.36
401,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,3.34
402,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.34
403,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,3.33
404,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,3.33
405,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,3.33
406,Mario Party 9,Wii,2012,Misc,Nintendo,3.32
407,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,3.32
408,Max Payne,PS2,2001,Shooter,Take-Two Interactive,3.31
409,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,3.28
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.28
411,Destiny,XOne,2014,Shooter,Activision,3.28
412,True Crime: Streets of LA,PS2,2003,Action,Activision,3.27
413,Wii Music,Wii,2008,Misc,Nintendo,3.27
414,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,3.27
415,Monster Hunter X,3DS,2015,Action,Capcom,3.26
416,Tekken,PS,1995,Fighting,Sony Computer Entertainment,3.24
417,FIFA 16,XOne,2015,Sports,Electronic Arts,3.23
418,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,3.23
419,Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.22
420,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,3.22
421,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,3.21
422,Baseball,NES,1983,Sports,Nintendo,3.2
423,Killer Instinct,SNES,1995,Fighting,Nintendo,3.2
424,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,3.2
425,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,3.19
426,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,3.19
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,3.19
428,Dance Central,X360,2010,Misc,MTV Games,3.19
429,Enter the Matrix,PS2,2003,Action,Atari,3.18
430,Super Mario Maker,WiiU,2015,Platform,Nintendo,3.18
431,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,3.17
432,LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment,3.17
433,Rhythm Heaven,DS,2008,Misc,Nintendo,3.17
434,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,3.17
435,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,3.16
436,Animal Crossing,GC,2001,Simulation,Nintendo,3.15
437,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,3.15
438,Sonic Rush,DS,2005,Platform,Sega,3.15
439,Resident Evil 6,PS3,2012,Shooter,Capcom,3.15
440,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3.15
441,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,3.14
442,Spider-Man,PS,2000,Action,Activision,3.13
443,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,3.12
444,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,3.12
445,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,3.12
446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,3.12
447,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,3.12
448,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,3.12
449,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.11
450,FIFA 15,X360,2014,Sports,Electronic Arts,3.11
451,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,3.09
452,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,3.08
453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,3.08
454,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,3.07
455,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,3.07
456,Donkey Kong,GB,1994,Platform,Nintendo,3.07
457,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,3.07
458,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,3.07
459,Kung Fu Panda,X360,2008,Action,Activision,3.05
460,Far Cry 3,X360,2012,Shooter,Ubisoft,3.04
461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,3.04
462,Saints Row 2,X360,2008,Action,THQ,3.03
463,Rayman,PS,1995,Platform,Ubisoft,3.03
464,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,3.02
465,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,3.02
466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,3.02
467,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,3.02
468,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3
469,NBA 2K13,X360,2012,Sports,Take-Two Interactive,3
470,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,3
471,wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,N/A,3
472,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.99
473,Star Fox,SNES,1993,Shooter,Nintendo,2.99
474,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,2.99
475,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,2.99
476,Devil May Cry,PS2,2001,Action,Capcom,2.99
477,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,2.98
478,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,2.97
479,The Sims 4,PC,2014,Simulation,Electronic Arts,2.97
480,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,2.97
481,Sonic Heroes,PS2,2003,Platform,Sega,2.96
482,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,2.96
483,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,2.96
484,Street Fighter IV,X360,2009,Fighting,Capcom,2.95
485,Wave Race 64,N64,1996,Racing,Nintendo,2.94
486,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.94
487,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,2.94
488,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,2.94
489,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.94
490,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,2.93
491,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,2.92
492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,2.91
493,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,2.91
494,FIFA 14,PS4,2013,Sports,Electronic Arts,2.9
495,Titanfall,XOne,2014,Shooter,Electronic Arts,2.9
496,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,2.9
497,Sega Superstars Tennis,X360,2008,Sports,Sega,2.9
498,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,2.9
499,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,2.89
500,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,2.89
501,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,2.89
502,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,2.88
503,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.88
504,Imagine: Babyz,DS,2007,Simulation,Ubisoft,2.88
505,Colin McRae Rally,PS,1998,Racing,Codemasters,2.87
506,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,2.86
507,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.86
508,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.86
509,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,2.85
510,F-Zero,SNES,1990,Racing,Nintendo,2.85
511,Yoshi's Story,N64,1997,Platform,Nintendo,2.85
512,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,2.85
513,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,2.85
514,FIFA 16,PS3,2015,Sports,Electronic Arts,2.85
515,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,2.84
516,BioShock,X360,2007,Shooter,Take-Two Interactive,2.83
517,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.83
518,Medal of Honor,PS3,2010,Shooter,Electronic Arts,2.83
519,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,2.83
520,Metroid Prime,GC,2002,Shooter,Nintendo,2.82
521,Finding Nemo,GBA,2003,Action,THQ,2.82
522,Myst,PC,1994,Adventure,Red Orb,2.81
523,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,2.81
524,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,2.81
525,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,2.8
526,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,2.8
527,Yoshi's Island DS,DS,2006,Platform,Nintendo,2.8
528,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,2.79
529,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,2.79
530,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,2.79
531,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,2.79
532,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,2.79
533,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,2.79
534,Battlefield 3,PC,2011,Shooter,Electronic Arts,2.79
535,NBA Street,PS2,2001,Sports,Electronic Arts,2.79
536,Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,2.79
537,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,2.79
538,Jak II,PS2,2003,Platform,Sony Computer Entertainment,2.78
539,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,2.78
540,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,2.78
541,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,2.78
542,The Sims,PS2,2003,Simulation,Electronic Arts,2.77
543,Sonic and the Secret Rings,Wii,2007,Platform,Sega,2.77
544,Saints Row: The Third,X360,2011,Action,THQ,2.77
545,Missile Command,2600,1980,Shooter,Atari,2.76
546,Mario Paint,SNES,1992,Misc,Nintendo,2.75
547,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,2.74
548,Pokémon Stadium 2,N64,2000,Strategy,Nintendo,2.73
549,Metroid,NES,1986,Action,Nintendo,2.73
550,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,2.72
551,Call of Duty 3,X360,2006,Shooter,Activision,2.71
552,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,2.7
553,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,2.7
554,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,2.7
555,Mario Party,N64,1998,Misc,Nintendo,2.7
556,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.69
557,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,2.69
558,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.69
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,2.69
560,Skate 3,X360,2010,Sports,Electronic Arts,2.68
561,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,2.68
562,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,2.68
563,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,2.68
564,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,2.68
565,Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,2.67
566,Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,2.67
567,Guitar Hero: World Tour,X360,2008,Misc,Activision,2.67
568,Medal of Honor,PS,1998,Shooter,Electronic Arts,2.67
569,Fable,XB,2004,Role-Playing,Microsoft Game Studios,2.66
570,Hannah Montana,DS,2006,Action,Disney Interactive Studios,2.65
571,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,2.65
572,Skylanders Giants,Wii,2012,Action,Activision,2.65
573,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,2.65
574,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,2.65
575,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2.65
576,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,2.64
577,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2.63
578,Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,2.63
579,Halo Wars,X360,2009,Strategy,Microsoft Game Studios,2.63
580,God of War Collection,PS3,2009,Action,Sony Computer Entertainment,2.63
581,ESPN NFL 2K5,PS2,2004,Sports,Sega,2.62
582,Mario Strikers Charged,Wii,2007,Sports,Nintendo,2.62
583,Medal of Honor,X360,2010,Shooter,Electronic Arts,2.62
584,FIFA Soccer 10,X360,2009,Sports,Electronic Arts,2.62
585,NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.62
586,Style Savvy,DS,2008,Simulation,Nintendo,2.61
587,Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,2.61
588,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,2.6
589,Streets of Rage,GEN,1990,Action,Sega,2.6
590,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,2.59
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,2.59
592,NBA Live 2005,PS2,2004,Sports,Electronic Arts,2.59
593,LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,2.58
594,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,2.58
595,Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,2.58
596,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,2.58
597,WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,2.58
598,Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,2.57
599,Art Academy,DS,2010,Misc,Nintendo,2.57
600,Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,2.57
601,Madden NFL 08,PS2,2007,Sports,Electronic Arts,2.57
602,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,2.56
603,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,2.56
604,Madden NFL 13,PS3,2012,Sports,Electronic Arts,2.56
605,Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,2.54
606,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,2.54
607,Madden NFL 09,X360,2008,Sports,Electronic Arts,2.54
608,Space Invaders,2600,N/A,Shooter,Atari,2.53
609,Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,2.52
610,Perfect Dark,N64,2000,Action,Nintendo,2.52
611,Game Party,Wii,2007,Misc,Midway Games,2.52
612,Dragon Warrior,NES,1986,Role-Playing,Capcom,2.52
613,Tomb Raider (2013),PS3,2013,Action,Square Enix,2.51
614,Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.5
615,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,2.5
616,Mario Party 2,N64,1999,Misc,Nintendo,2.5
617,Saints Row: The Third,PS3,2011,Action,THQ,2.49
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,2.49
619,LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,2.49
620,Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,2.49
621,Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,2.48
622,Pure,X360,2008,Racing,Disney Interactive Studios,2.48
623,Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,2.48
624,NBA 2K13,PS3,2012,Sports,Take-Two Interactive,2.48
625,Rock Band,X360,N/A,Misc,Electronic Arts,2.48
626,NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.47
627,Mario Party 4,GC,2002,Misc,Nintendo,2.47
628,uDraw Studio,Wii,2010,Misc,THQ,2.46
629,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,2.45
630,Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,2.45
631,Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,2.45
632,Twisted Metal 2,PS,1996,Racing,Sony Computer Entertainment,2.44
633,Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,2.44
634,Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,2.44
635,The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,2.43
636,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,2.43
637,Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,2.42
638,Sonic Adventure,DC,1998,Platform,Sega,2.42
639,Ice Hockey,NES,1988,Sports,Nintendo,2.42
640,pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,2.42
641,Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,2.41
642,ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.41
643,Dino Crisis,PS,1998,Action,Capcom,2.41
644,Minecraft,XOne,2014,Misc,Microsoft Game Studios,2.41
645,Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,2.41
646,Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.4
647,Tetris Plus,PS,1996,Puzzle,JVC,2.4
648,Pro Wrestling,NES,1987,Fighting,Nintendo,2.4
649,Theme Hospital,PC,1997,Strategy,Electronic Arts,2.4
650,Frogger's Adventures: Temple of the Frog,GBA,N/A,Adventure,Konami Digital Entertainment,2.39
651,Need for Speed (2015),PS4,2015,Racing,Electronic Arts,2.39
652,Zumba Fitness,X360,2010,Sports,505 Games,2.39
653,LEGO Indiana Jones: The Original Adventures,Wii,N/A,Action,LucasArts,2.39
655,Monopoly,PC,1994,Misc,Hasbro Interactive,2.39
656,Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,2.39
657,Dead Island,X360,2011,Action,Deep Silver,2.39
658,Guitar Hero,PS2,2005,Misc,RedOctane,2.38
659,LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,2.38
660,Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,2.38
661,WCW/nWo Revenge,N64,1998,Fighting,THQ,2.38
662,Bloodborne,PS4,2015,Action,Sony Computer Entertainment,2.38
663,NBA 2K15,PS4,2014,Sports,Take-Two Interactive,2.38
664,Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.38
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,2.38
666,Madden NFL 08,X360,2007,Sports,Electronic Arts,2.37
667,Half-Life 2,PC,2004,Shooter,Vivendi Games,2.37
668,The Incredibles,PS2,2004,Action,THQ,2.37
669,Tony Hawk's Underground 2,PS2,2004,Sports,Activision,2.37
670,Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.37
671,Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,2.36
672,Kirby's Dream Land 2,GB,1995,Platform,Nintendo,2.36
673,LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,2.35
674,Donkey Kong Land II,GB,1996,Platform,Nintendo,2.35
675,Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,2.35
676,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,2.35
677,Skylanders SWAP Force,Wii,2013,Platform,Activision,2.34
678,WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,2.34
679,My Fitness Coach,Wii,2008,Sports,Ubisoft,2.34
680,Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,2.34
681,The Sims 3,X360,2010,Simulation,Electronic Arts,2.33
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,2.32
683,NBA 2K16,XOne,2015,Sports,Take-Two Interactive,2.32
684,Just Dance Kids,Wii,2010,Misc,Ubisoft,2.32
685,Mario Tennis,N64,2000,Sports,Nintendo,2.32
686,Grand Theft Auto,PS,1997,Action,Take-Two Interactive,2.32
687,James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,2.31
688,WarioWare Touched!,DS,2004,Puzzle,Nintendo,2.31
689,Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,2.31
690,Chrono Trigger,SNES,1995,Role-Playing,SquareSoft,2.31
691,Cool Boarders 3,PS,1998,Sports,989 Studios,2.31
692,LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,2.3
693,Guild Wars 2,PC,2012,Action,NCSoft,2.3
694,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,2.3
695,Dead Island,PS3,2011,Action,Deep Silver,2.29
696,Tomb Raider II,PC,1997,Action,Eidos Interactive,2.29
697,God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,2.29
698,Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,2.28
699,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,2.28
700,Just Dance 2015,Wii,2014,Misc,Ubisoft,2.28
701,Yokai Watch Busters,3DS,2015,Action,Level 5,2.28
702,Mario Bros.,NES,1983,Platform,Nintendo,2.28
703,FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,2.28
704,Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,2.28
705,Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,2.28
706,TOCA Touring Car Championship,PS,1997,Racing,Codemasters,2.28
707,Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,2.27
708,Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega,2.27
709,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,2.27
710,Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,2.27
711,Wario Land 4,GBA,2001,Platform,Nintendo,2.26
712,Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,2.26
713,Call of Duty 3,Wii,N/A,Shooter,Activision,2.26
714,Resident Evil 4,Wii,2007,Action,Capcom,2.26
715,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,2.25
716,Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom,2.25
717,Cool Boarders 2,PS,1997,Sports,UEP Systems,2.25
718,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,2.25
719,Madden NFL 12,PS3,2011,Sports,Electronic Arts,2.25
720,Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,2.25
721,Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,2.25
722,Sonic Advance,GBA,2001,Platform,Sega,2.24
723,Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,2.23
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,2.23
725,LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,2.23
726,Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,2.23
727,New Super Luigi U,WiiU,2013,Platform,Nintendo,2.22
728,Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,2.22
729,Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,2.22
730,The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo,2.22
731,Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,2.22
732,BioShock 2,X360,2010,Shooter,Take-Two Interactive,2.21
733,Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,2.21
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,Capcom,2.21
735,Rock Band 2,X360,2008,Misc,Electronic Arts,2.2
736,Frogger,2600,1981,Action,Parker Bros.,2.2
737,Guitar Hero II,X360,2007,Misc,Activision,2.2
738,Wario Land 3,GB,2000,Platform,Nintendo,2.2
739,Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,2.2
740,Sonic Unleashed,Wii,2008,Platform,Sega,2.2
741,High School Musical: Makin' the Cut!,DS,2007,Puzzle,Disney Interactive Studios,2.2
742,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,2.19
743,Saints Row,X360,2006,Action,THQ,2.19
744,Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,2.19
745,Kirby's Pinball Land,GB,1992,Misc,Nintendo,2.19
746,Donkey Kong Country,GB,2000,Platform,Nintendo,2.19
747,Hitman: Absolution,PS3,2012,Action,Square Enix,2.19
748,Yu-Gi-Oh: Duel Monsters 4,GB,2000,Role-Playing,Konami Digital Entertainment,2.18
749,ATV Offroad Fury 2,PS2,2002,Racing,THQ,2.18
750,Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,2.18
751,Madden NFL 25,X360,2013,Sports,Electronic Arts,2.18
752,Pokemon Ranger,DS,2006,Role-Playing,Nintendo,2.18
753,Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo,2.17
754,Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,2.17
755,Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,2.17
756,Tennis,NES,1984,Sports,Nintendo,2.17
757,The Sims: House Party,PC,2001,Simulation,Electronic Arts,2.16
758,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,2.16
759,Syphon Filter 2,PS,2000,Shooter,Sony Computer Entertainment,2.15
760,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,2.15
761,Volleyball,NES,1987,Sports,Nintendo,2.15
